0, Infinity, Infinity, Infinity, 2.8706265735983656E139, Infinity, 1.5824764185853247E7, Infinity, Infinity, 2.8794177022000585E9, 69404.13908948858, 4580695.040753311, 1.4472977756584713E7, 3.149679655530116E11, 86424.4602153659, 5417566.760999809, Infinity, 3.6192470956304454E17, Infinity, 1463014.2857934893, Infinity, 42045.72646952804, 33957.80590326133, 44514.67581613852, 74981.8467358271, 1.784095428234059E247, 39549.95079386276, 49259.23747836833, 1.9608399532039898E269, 4290732.89447833, Infinity, 43524.49567545203, Infinity, 46868.85901847487, 4.0524698458646484E11, Infinity, 1.5143458784787927E11, Infinity, Infinity, Infinity, 1.5312022545862566E272, 2.1951040158087536E85, 42669.5474172518, 1576770.7454524445, Infinity, 4.315267923307599E7, Infinity, 41449.1730031293, 35753.480069796504, Infinity, Infinity, Infinity, 41815.4582719347, Infinity, Infinity, 3.4853660778886035E11, 73835.075451951, 1.548572966934378E10, 1.893906443190526E7, Infinity, Infinity, 43440.885407999674, 190426.3722024791, 7696141.65255741, 82145.37733061172, Infinity, 1.589258582382085E8, 42624.01768799342, 49424.08470634911, Infinity, 2.5541237716493616E8, 3.834949510433519E10, Infinity, Infinity, 37834.086497851444, 43796.66140166139, 4.633123404050459E7, Infinity, 1.4011511809893456E8, 68240.88039939402, 5.865754148332275E7, 50059.03510007452, Infinity, Infinity, Infinity, 38936.02974164919, 4.226953267757912E9, 171133.76775551005, 96464.55564238598, 1.1244808686532615E8, 53896.024209773284, 1.0945983781678759E232, 39467.83022241174, Infinity, 1555906.2507386063, Infinity, Infinity, 47252.34580259878, 1.896346524231165E7, 129458.90099212009, 2528768.684751503
11, 8.24504655258904E27, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 129458.90099212009, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
12, 42203.98548419321, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 129458.90099212009, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
13, 36918.8885294786, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 129458.90099212009, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
14, 4824792.011413124, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
15, 80662.20528666276, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
16, Infinity, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 80662.20528666276, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
17, 1.4121090821563568E9, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 80662.20528666276, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
18, 80701.92980214002, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 80662.20528666276, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 1.4121090821563568E9, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
19, Infinity, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 80662.20528666276, 80701.92980214002, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 1.4121090821563568E9, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
20, 172540.95636970596, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 80662.20528666276, 80701.92980214002, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 1.4121090821563568E9, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
21, 91346.85683374241, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 80662.20528666276, 80701.92980214002, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 172540.95636970596, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 1.4121090821563568E9, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
22, 70339.3094515156, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 74981.8467358271, 80662.20528666276, 80701.92980214002, 91346.85683374241, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 172540.95636970596, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 1.4121090821563568E9, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
23, 42530.150372721204, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 70339.3094515156, 74981.8467358271, 80662.20528666276, 80701.92980214002, 91346.85683374241, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 172540.95636970596, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 1.4121090821563568E9, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
24, Infinity, 39467.83022241174, 40586.567392999066, 41430.538946885725, 41449.1730031293, 41815.4582719347, 42045.72646952804, 42203.98548419321, 42530.150372721204, 42624.01768799342, 42669.5474172518, 43440.885407999674, 43796.66140166139, 44514.67581613852, 44691.62223213775, 46868.85901847487, 47252.34580259878, 49259.23747836833, 50059.03510007452, 70339.3094515156, 74981.8467358271, 80662.20528666276, 80701.92980214002, 91346.85683374241, 129458.90099212009, 36918.8885294786, 38936.02974164919, 68240.88039939402, 172540.95636970596, 73835.075451951, 190426.3722024791, 139079.85780378693, 49424.08470634911, 53896.024209773284, 82145.37733061172, 69404.13908948858, 37834.086497851444, 39549.95079386276, 86424.4602153659, 43524.49567545203, 90693.71257508456, 96464.55564238598, 33957.80590326133, 171133.76775551005, 35753.480069796504, 1555906.2507386063, 1576770.7454524445, 1463014.2857934893, 2720152.872757802, 2528768.684751503, 4580695.040753311, 4290732.89447833, 4824792.011413124, 5417566.760999809, 7696141.65255741, 1.4472977756584713E7, 1.5824764185853247E7, 1.893906443190526E7, 1.896346524231165E7, 4.315267923307599E7, 4.633123404050459E7, 5.865754148332275E7, 1.1244808686532615E8, 1.4011511809893456E8, 1.589258582382085E8, 2.5541237716493616E8, 1.4121090821563568E9, 2.8794177022000585E9, 4.226953267757912E9, 1.548572966934378E10, 3.834949510433519E10, 5.6395200665141E10, 1.5143458784787927E11, 3.149679655530116E11, 3.4853660778886035E11, 4.0524698458646484E11, 3.6192470956304454E17, 8.24504655258904E27, 2.1951040158087536E85, 2.8706265735983656E139, 1.0945983781678759E232, 1.784095428234059E247, 1.9608399532039898E269, 1.5312022545862566E272, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
